i,ok,status_code,latency_ms,started_at_s,error
0,True,200,1411.0063998959959,1778404109.7555041,
1,True,200,1348.7730000633746,1778404109.7729666,
2,True,200,1367.9698999039829,1778404109.775104,
3,True,200,2235.219100024551,1778404109.776852,
4,True,200,3062.6841001212597,1778404109.7785757,
5,True,200,4012.4357000458986,1778404109.7806642,
6,True,200,4022.956700064242,1778404109.7821681,
7,True,200,2696.7984999064356,1778404109.783584,
8,True,200,1666.8614000082016,1778404109.7854807,
9,True,200,1657.720500137657,1778404109.786696,
10,True,200,2576.017600018531,1778404109.78862,
11,True,200,1537.8793000709265,1778404109.7905266,
12,True,200,1542.9102000780404,1778404109.7923467,
13,True,200,2746.4892000425607,1778404109.7941978,
14,True,200,3212.531599914655,1778404109.7959542,
15,True,200,1508.4371000993997,1778404109.797588,
16,True,200,1497.7141998242587,1778404109.799223,
17,True,200,1488.5806001257151,1778404109.8007815,
18,True,200,1516.6557999327779,1778404109.8022416,
19,True,200,1477.6902000885457,1778404109.803882,
20,True,200,2516.7960999533534,1778404109.8054984,
21,True,200,4207.892700098455,1778404109.807445,
22,True,200,1405.091700144112,1778404109.8090968,
23,True,200,3131.9198000710458,1778404109.8109536,
24,True,200,2442.938400199637,1778404109.8127584,
25,True,200,2182.985399849713,1778404109.814571,
26,True,200,4093.1510999798775,1778404109.8162258,
27,True,200,2347.2536001354456,1778404109.8178945,
28,True,200,2340.317300055176,1778404109.8192983,
29,True,200,5941.902599995956,1778404109.8207045,
30,True,200,1673.5992000903934,1778404109.82225,
31,True,200,4436.538200126961,1778404109.8239927,
32,True,200,5534.034499898553,1778404109.8256867,
33,True,200,2593.824200099334,1778404109.827343,
34,True,200,2581.571700051427,1778404109.8289835,
35,True,200,2618.066099938005,1778404109.830639,
36,True,200,1564.2669000662863,1778404109.8322546,
37,True,200,3178.711900021881,1778404109.834253,
38,True,200,2156.2183999922127,1778404109.8359432,
39,True,200,3808.101899921894,1778404109.8370337,
40,True,200,2784.044099971652,1778404109.8387735,
41,True,200,2486.3080999348313,1778404109.8399224,
42,True,200,1354.2871999088675,1778404109.8415818,
43,True,200,3794.883199967444,1778404109.8434076,
44,True,200,2394.891800126061,1778404109.8448708,
45,True,200,1666.8011001311243,1778404109.8460724,
46,True,200,3542.3436001874506,1778404109.8472338,
47,True,200,2153.2933998387307,1778404109.848386,
48,True,200,5237.537000095472,1778404109.8495636,
49,True,200,2643.2401000056416,1778404109.851323,
50,True,200,2782.01110009104,1778404109.8528855,
51,True,200,1325.064399978146,1778404109.8550267,
52,True,200,1454.146800097078,1778404109.8569531,
53,True,200,1313.2406000513583,1778404109.8587863,
54,True,200,2311.8479000404477,1778404109.8605988,
55,True,200,2564.0746001154184,1778404109.8623533,
56,True,200,2160.240099998191,1778404109.8640947,
57,True,200,3156.419500010088,1778404109.8659155,
58,True,200,3152.306400006637,1778404109.867341,
59,True,200,4260.922500165179,1778404109.868583,
60,True,200,2487.9998001269996,1778404109.8703172,
61,True,200,1353.8832999765873,1778404109.872051,
62,True,200,2514.1962999477983,1778404109.8737934,
63,True,200,2496.9504999462515,1778404109.8754332,
64,True,200,2505.0605998840183,1778404109.8770697,
65,True,200,4673.4016998670995,1778404109.8787181,
66,True,200,2728.27160009183,1778404109.8804703,
67,True,200,5679.463200038299,1778404109.8819425,
68,True,200,2743.1502998806536,1778404109.8872788,
69,True,200,2752.47610011138,1778404109.8893538,
70,True,200,2378.993700025603,1778404109.8911996,
71,True,200,2383.970399852842,1778404109.8930018,
72,True,200,3098.3755998313427,1778404109.8947012,
73,True,200,2547.7048999164253,1778404109.896362,
74,True,200,2555.680099874735,1778404109.8980014,
75,True,200,2609.703900059685,1778404109.899652,
76,True,200,4610.603200038895,1778404109.9016242,
77,True,200,2625.468999845907,1778404109.9031343,
78,True,200,2641.5478999260813,1778404109.9044273,
79,True,200,1930.7345000561327,1778404109.9059317,
80,True,200,2592.2553001437336,1778404109.9076467,
81,True,200,3580.8659000322223,1778404109.9093702,
82,True,200,2755.0577998626977,1778404109.9105926,
83,True,200,4633.791900007054,1778404109.9124012,
84,True,200,1305.6771999690682,1778404109.9141655,
85,True,200,1315.035399980843,1778404109.9159122,
86,True,200,3476.972300093621,1778404109.9177172,
87,True,200,2585.9774998389184,1778404109.9194973,
88,True,200,1268.461300060153,1778404109.9212863,
89,True,200,1539.1428000293672,1778404109.9229808,
90,True,200,1285.2005998138338,1778404109.9248662,
91,True,200,2054.8154001589864,1778404109.9266794,
92,True,200,2605.87970004417,1778404109.928465,
93,True,200,1219.130199868232,1778404109.9302318,
94,True,200,2470.4861000645906,1778404109.9319863,
95,True,200,1270.0593997724354,1778404109.9337206,
96,True,200,2983.202800154686,1778404109.935181,
97,True,200,2478.917400119826,1778404109.9368787,
98,True,200,1199.1643998771906,1778404109.9383411,
99,True,200,2265.6163999345154,1778404109.940199,
100,True,200,1548.1589001137763,1778404111.1217906,
101,True,200,135.73039998300374,1778404111.1375754,
102,True,200,1530.6872001383454,1778404111.143109,
103,True,200,1600.6102000828832,1778404111.1493979,
104,True,200,2578.7617000751197,1778404111.1665485,
105,True,200,2527.413100004196,1778404111.1722267,
106,True,200,1566.5784999728203,1778404111.180227,
107,True,200,1528.9946999400854,1778404111.1900263,
108,True,200,2571.6574999969453,1778404111.1960971,
109,True,200,2545.0983999762684,1778404111.2048805,
110,True,200,1497.2755000926554,1778404111.2103865,
111,True,200,2595.0062999036163,1778404111.2147212,
112,True,200,2577.7474001515657,1778404111.221125,
113,True,200,1529.6873000916094,1778404111.2279584,
114,True,200,1522.061999887228,1778404111.2319324,
115,True,200,914.8772999178618,1778404111.2733614,
116,True,200,191.32389989681542,1778404111.2816133,
117,True,200,751.3868999667466,1778404111.2894213,
118,True,200,187.02239985577762,1778404111.2969894,
119,True,200,755.689200013876,1778404111.3061104,
120,True,200,745.1323000714183,1778404111.3111525,
121,True,200,859.9776001647115,1778404111.3192015,
122,True,200,107.34620015136898,1778404111.3285813,
123,True,200,714.6350000984967,1778404111.3353019,
124,True,200,578.3037999644876,1778404111.3965933,
125,True,200,1454.6731000300497,1778404111.4359846,
